baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene
8633.21609,-0.28795247,0.259500552,-1.109641069,0.267153727,0.515782195,TPM2
12315.96673,0.022174004,0.244391846,0.090731359,0.927706052,0.963863423,TLN1
4664.047826,-1.088585724,0.320287089,-3.398781163,0.000676869,0.007161269,TUBB4B
8395.006566,1.401448465,0.272446844,5.143933561,2.69E-07,1.09E-05,B4GALT1
6931.274324,0.26472484,0.222394823,1.19033724,0.23391387,0.468713777,ENG
8237.081198,-0.475673942,0.090022626,-5.283937632,1.26E-07,5.57E-06,RPL7A
6799.171195,-0.11540785,0.278197991,-0.414840704,0.67825852,0.860852646,SURF4
16369.33584,0.077489501,0.208412488,0.37180834,0.710035554,0.876173052,HSPA5
6153.639003,-0.109674627,0.26578849,-0.412638739,0.679871314,0.860852646,SPTAN1
4946.584077,-0.166604874,0.180043367,-0.925359688,0.35477884,0.605412924,VCP
10208.48147,-0.868323279,1.223003409,-0.709992526,0.477708771,0.715584257,IL33
4494.636619,-0.157848303,0.315804136,-0.499829754,0.617194958,0.810164101,IARS1
5310.56396,-0.291217422,0.107259126,-2.715082933,0.006625918,0.038945671,CAPRIN1
13205.41886,1.4709311,0.40086039,3.669434886,0.000243087,0.003214829,FTH1
11361.36871,0.125120824,0.184459382,0.678310978,0.49757454,0.725115514,CD59
22452.44373,0.004667156,0.594790855,0.007846718,0.993739289,0.995621371,AHNAK
6541.159288,0.678979498,0.331130085,2.050491723,0.040316471,0.146078171,NEAT1
24745.72222,0.801420287,0.295915972,2.708269794,0.006763502,0.039317498,CCND1
7170.018863,0.090651601,0.531960571,0.170410377,0.864687412,0.948103811,PICALM
10252.0255,1.210010689,0.40801597,2.965596393,0.003020967,0.021192717,PRSS23
4445.807903,-0.214526548,0.188454636,-1.138345821,0.254976108,0.4995643,ARCN1
20225.49232,0.397552629,0.109038717,3.645976776,0.000266378,0.003436926,LDHA
17453.1243,-0.619625472,0.123910379,-5.000593788,5.72E-07,1.78E-05,HSPA8
5462.825485,-0.249723673,0.321169958,-0.777543685,0.436838072,0.685719109,CLMP
6899.542586,-0.372691794,0.16074538,-2.318522579,0.020420937,0.088546523,RPS3
10300.96433,-0.071443782,0.331804057,-0.215319192,0.829518467,0.927727842,SERPINH1
4266.319252,-0.178552568,0.181353407,-0.984555906,0.324842258,0.576649511,RPLP2
6116.387415,0.371956199,0.11528677,3.226356312,0.001253772,0.011054087,CD151
5611.345301,0.51599777,0.245931848,2.09813318,0.035893382,0.134663824,CD81
6301.997637,0.399010263,0.697459893,0.572090621,0.567260583,0.765512368,THY1
4701.671664,0.118326114,0.896536802,0.131981324,0.894999064,0.962377883,CD248
4318.029566,-0.058085274,0.455948566,-0.127394357,0.898628282,0.962377883,TAGLN
4101.74127,0.334685462,0.258487825,1.294782306,0.195395337,0.410175133,PARVA
14758.11544,-0.509729594,0.142942834,-3.565968141,0.000362515,0.004459783,EIF4G2
